club,sofifa_id,short_name,age,dob,height_cm,weight_kg
Atlético Madrid,208421,Saúl,24,1994-11-21,184,77
Liverpool,209499,Fabinho,25,1993-10-23,188,78
Liverpool,216267,A. Robertson,25,1994-03-11,178,64
Atlético Madrid,216460,J. Giménez,24,1995-01-20,185,80
FC Barcelona,220440,C. Lenglet,24,1995-06-17,186,81
Sporting CP,212198,Bruno Fernandes,24,1994-09-08,179,69
Olympique Lyonnais,199482,A. Lopes,28,1990-10-01,184,81
RB Leipzig,185122,P. Gulácsi,29,1990-05-06,192,86
Borussia Dortmund,189117,R. Bürki,28,1990-11-14,187,85
Inter,192505,R. Lukaku,26,1993-05-13,190,94
Napoli,192774,K. Manolas,28,1991-06-14,189,83
FC Barcelona,194404,Neto,29,1989-07-19,190,84
FC Bayern München,197445,D. Alaba,27,1992-06-24,180,78
Inter,201399,M. Icardi,26,1993-02-19,181,75
Real Madrid,204963,Carvajal,27,1992-01-11,173,73
Ajax,208670,H. Ziyech,26,1993-03-19,181,65
LA Galaxy,41236,Z. Ibrahimović,37,1981-10-03,195,95
Atalanta,143076,A. Gómez,31,1988-02-15,165,68
Juventus,167664,G. Higuaín,31,1987-12-10,186,89
Juventus,170890,B. Matuidi,32,1987-04-09,180,75
Real Madrid,173731,G. Bale,29,1989-07-16,185,82
Real Madrid,176676,Marcelo,31,1988-05-12,174,75
Borussia Dortmund,177413,A. Witsel,30,1989-01-12,186,81
Juventus,191043,Alex Sandro,28,1991-01-26,180,80
RC Celta,192629,Iago Aspas,31,1987-08-01,176,67
Atlético Madrid,193747,Koke,27,1992-01-08,176,74
Real Madrid,198710,J. Rodríguez,27,1991-07-12,180,75
Napoli,199914,Allan,28,1991-01-08,175,74
Borussia Dortmund,233049,J. Sancho,19,2000-03-25,180,76
Bayer 04 Leverkusen,235790,K. Havertz,20,1999-06-11,188,83
FC Barcelona,231443,O. Dembélé,22,1997-05-15,178,67
Chelsea,206585,Kepa,24,1994-10-03,186,85
Manchester City,210514,João Cancelo,25,1994-05-27,182,74
Tottenham Hotspur,211117,D. Alli,23,1996-04-11,188,80
FC Bayern München,220814,L. Hernández,23,1996-02-14,182,76
FC Barcelona,230658,Arthur,22,1996-08-12,171,73
Olympique Lyonnais,202556,M. Depay,25,1994-02-13,176,78
FC Bayern München,209658,L. Goretzka,24,1995-02-06,189,79
Borussia Dortmund,212194,J. Brandt,23,1996-05-02,185,83
FC Bayern München,213345,K. Coman,23,1996-06-13,179,75
FC Bayern München,206113,S. Gnabry,23,1995-07-14,175,75
Real Betis,216594,N. Fekir,25,1993-07-18,173,75
Arsenal,192563,B. Leno,27,1992-03-04,190,83
Lazio,198706,Luis Alberto,26,1992-09-28,183,74
FC Porto,212462,Alex Telles,26,1992-12-15,181,71
SV Werder Bremen,236583,J. Pavlenka,27,1992-04-14,196,81
Inter,198176,S. de Vrij,27,1992-02-05,189,78
West Ham United,201995,Felipe Anderson,26,1993-04-15,175,70
FC Porto,120533,Pepe,36,1983-02-26,188,81
Wolverhampton Wanderers,162347,João Moutinho,32,1986-09-08,170,61
AS Saint-Étienne,167628,S. Ruffier,32,1986-09-27,188,93
Torino,168435,S. Sirigu,32,1987-01-12,192,80
Dalian YiFang FC,171877,M. Hamšík,31,1987-07-27,183,73
Arsenal,172879,Sokratis,31,1988-06-09,186,85
Lazio,176266,Lucas Leiva,32,1987-01-09,179,78
Arsenal,176635,M. Özil,30,1988-10-15,180,76
FC Bayern München,177610,Javi Martínez,30,1988-09-02,192,86
Borussia Mönchengladbach,177683,Y. Sommer,30,1988-12-17,183,79
Roma,180930,E. Džeko,33,1986-03-17,193,80
Liverpool,181291,G. Wijnaldum,28,1990-11-11,175,69
FC Bayern München,181458,I. Perišić,30,1989-02-02,186,80
Juventus,181783,M. Mandžukić,33,1986-05-21,190,85
FC Barcelona,181872,A. Vidal,32,1987-05-22,180,75
FC Bayern München,183907,J. Boateng,30,1988-09-03,192,90
Chelsea,184432,Azpilicueta,29,1989-08-28,178,76
Napoli,185020,José Callejón,32,1987-02-11,178,73
Manchester City,186942,I. Gündoğan,28,1990-10-24,180,80
Guangzhou Evergrande Taobao FC,187961,Paulinho,30,1988-07-25,183,80
Manchester City,188377,K. Walker,29,1990-05-28,183,70
Real Betis,190286,Canales,28,1991-02-16,176,65
Juventus,190483,Douglas Costa,28,1990-09-14,172,70
SL Benfica,197965,Pizzi,29,1989-10-06,177,72
Ajax,199434,D. Tadić,30,1988-11-20,181,76
Atalanta,200647,J. Iličić,31,1988-01-29,190,79
Manchester City,204485,R. Mahrez,28,1991-02-21,179,67
Medipol Başakşehir FK,205678,E. Višća,29,1990-02-17,172,63
Atlético Madrid,207863,Felipe,30,1989-05-16,190,83
Napoli,226271,Fabián,23,1996-04-03,189,70
Milan,210413,A. Romagnoli,24,1995-01-12,188,78
Tottenham Hotspur,226226,G. Lo Celso,23,1996-04-09,177,68
Liverpool,231281,T. Alexander-Arnold,20,1998-10-07,180,69
Real Madrid,232432,L. Jović,21,1997-12-23,182,85
Napoli,205175,A. Milik,25,1994-02-28,186,78
Manchester United,211300,A. Martial,23,1995-12-05,184,76
Guangzhou Evergrande Taobao FC,212523,Anderson Talisca,25,1994-02-01,190,80
Bayer 04 Leverkusen,213331,J. Tah,23,1996-02-11,195,97
FC Bayern München,219683,C. Tolisso,24,1994-08-03,181,81
Roma,221087,Pau López,24,1994-12-13,189,77
Valencia CF,224411,Gonçalo Guedes,22,1996-11-29,179,68
Arsenal,226110,N. Pépé,24,1995-05-29,183,73
Borussia Dortmund,229237,M. Akanji,23,1995-07-19,187,91
Manchester United,231677,M. Rashford,21,1997-10-31,186,70
Manchester City,203574,J. Stones,25,1994-05-28,188,70
Juventus,210008,A. Rabiot,24,1995-04-03,192,80
SL Benfica,210035,Grimaldo,23,1995-09-20,171,69
RB Leipzig,212188,T. Werner,23,1996-03-06,180,75
Atlético Madrid,213565,T. Lemar,23,1995-11-12,171,62
Tottenham Hotspur,220793,D. Sánchez,23,1996-06-12,187,79
Real Madrid,220834,Marco Asensio,23,1996-01-21,182,76
Everton,200458,L. Digne,25,1993-07-20,178,74
Paris Saint-Germain,202166,J. Draxler,25,1993-09-20,187,77
Everton,204935,J. Pickford,25,1994-03-07,185,77
Dalian YiFang FC,208418,Y. Carrasco,25,1993-09-04,180,71
Real Betis,224179,Borja Iglesias,26,1993-01-17,187,86
VfL Wolfsburg,192984,K. Casteels,27,1992-06-25,197,86
Crystal Palace,198717,W. Zaha,26,1992-11-10,180,66
Borussia Dortmund,200454,Paco Alcácer,25,1993-08-30,175,72
Atlético Madrid,201153,Morata,26,1992-10-23,189,84
West Ham United,205693,S. Haller,25,1994-06-22,190,82
Real Betis,207566,William Carvalho,27,1992-04-07,187,83
Juventus,212404,F. Bernardeschi,25,1994-02-16,185,77
Getafe CF,217940,D. Djené,27,1991-12-31,178,72
Shanghai SIPG FC,188152,Oscar,27,1991-09-09,181,71
Eintracht Frankfurt,188943,K. Trapp,28,1990-07-08,189,86
Real Betis,198141,Bartra,28,1991-01-15,184,73
Paris Saint-Germain,198950,Pablo Sarabia,27,1992-05-11,174,70
Valencia CF,199987,J. Cillessen,30,1989-04-22,185,83
Tottenham Hotspur,200949,Lucas Moura,26,1992-08-13,174,70
Olympique de Marseille,204970,F. Thauvin,26,1993-01-26,179,70
Chelsea,205498,Jorginho,27,1991-12-20,180,67
Juventus,1179,G. Buffon,41,1978-01-28,192,92
FC Porto,5479,Casillas,38,1981-05-20,185,84
Hertha BSC,104389,R. Jarstein,34,1984-09-29,190,86
RSC Anderlecht,139720,V. Kompany,33,1986-04-10,190,85
Villarreal CF,157481,Raúl Albiol,33,1985-09-04,190,82
Sampdoria,159261,F. Quagliarella,36,1983-01-31,180,79
Leicester City,163587,K. Schmeichel,32,1986-11-05,189,89
AS Monaco,167397,Falcao,33,1986-02-10,177,72
Jiangsu Suning FC,168609,Miranda,34,1984-09-07,186,78
Los Angeles FC,169416,C. Vela,30,1989-03-01,177,77
Valencia CF,170481,E. Garay,32,1986-10-10,189,90
Wolverhampton Wanderers,178005,Rui Patrício,31,1988-02-15,190,84
Cagliari,178518,R. Nainggolan,31,1988-05-04,176,77
Sevilla FC,178562,E. Banega,31,1988-06-29,174,71
Atlético Madrid,179844,Diego Costa,30,1988-10-07,188,86
Juventus,179846,S. Khedira,32,1987-04-04,189,90
Arsenal,179944,David Luiz,32,1987-04-22,189,86
Fenerbahçe SK,183574,M. Kruse,31,1988-03-19,180,76
Liverpool,183711,J. Henderson,29,1990-06-17,182,80
Everton,184484,G. Sigurðsson,29,1989-09-08,186,77
Juventus,186561,A. Ramsey,28,1990-12-26,183,76
Real Sociedad,190584,Illarramendi,29,1990-03-08,179,75
Ajax,190815,D. Blind,29,1990-03-09,180,72
Bayer 04 Leverkusen,190941,L. Hrádecký,29,1989-11-24,192,85
Manchester City,192366,N. Otamendi,31,1988-02-12,183,81
Juventus,193082,J. Cuadrado,31,1988-05-26,179,72
Paris Saint-Germain,193474,I. Gueye,29,1989-09-26,174,66
RB Leipzig,195365,K. Kampl,28,1990-10-09,178,67
Valencia CF,198329,Rodrigo,28,1991-03-06,182,77
Bayer 04 Leverkusen,199042,C. Aránguiz,30,1989-04-17,171,70
AS Monaco,199451,W. Ben Yedder,28,1990-08-12,170,68
Lazio,199845,F. Acerbi,31,1988-02-10,192,88
FC Porto,200888,Danilo Pereira,27,1991-09-09,188,83
TSG 1899 Hoffenheim,216354,A. Kramarić,28,1991-06-19,177,73
Atlético Mineiro,230294,Louri Beretta,27,1992-02-29,188,83
Grêmio,230375,Josué Chiamulera,27,1992-02-29,185,80
Grêmio,230481,Ronaldo Cabrais,27,1992-02-29,177,75
Real Sociedad,230142,Oyarzabal,22,1997-04-21,181,78
Bayer 04 Leverkusen,229906,L. Bailey,21,1997-08-09,178,79
Manchester City,230666,Gabriel Jesus,22,1997-04-03,175,73
Chelsea,207410,M. Kovačić,25,1994-05-06,176,78
Torino,208596,A. Belotti,25,1993-12-20,181,72
Lazio,212151,T. Strakosha,24,1995-03-19,193,78
Liverpool,220971,N. Keïta,24,1995-02-10,172,64
Arsenal,223959,L. Torreira,23,1996-02-11,168,64
Wolverhampton Wanderers,224293,Rúben Neves,22,1997-03-13,180,80
Paris Saint-Germain,225850,P. Kimpembe,23,1995-08-13,189,80
PSV,225953,S. Bergwijn,21,1997-10-08,178,78
Ajax,226753,A. Onana,23,1996-04-02,187,93
FC Barcelona,227928,Nélson Semedo,25,1993-11-16,177,67
Paris Saint-Germain,193105,A. Areola,26,1993-02-27,195,94
Juventus,198009,M. Perin,26,1992-11-10,188,77
Juventus,211320,D. Rugani,24,1994-07-29,190,84
Atlético Madrid,214997,A. Correa,24,1995-03-09,171,68
Athletic Club de Bilbao,216201,Iñaki Williams,25,1994-06-15,186,79
PSV,221992,H. Lozano,23,1995-07-30,175,70
AS Monaco,227055,Gelson Martins,24,1995-05-11,173,74
AS Monaco,200726,B. Lecomte,28,1991-04-26,186,78
Atlético Madrid,209989,T. Partey,26,1993-06-13,185,77
Bayer 04 Leverkusen,211748,K. Demirbay,25,1993-07-03,182,72
Liverpool,197061,J. Matip,27,1991-08-08,194,90
Milan,202651,Suso,25,1993-11-19,176,70
Atlético Madrid,204639,S. Savić,28,1991-01-08,187,79
Chelsea,205452,A. Rüdiger,26,1993-03-03,190,85
Deportivo Alavés,209960,Pacheco,27,1992-05-18,186,81
Leicester City,210243,Ricardo Pereira,25,1993-10-06,175,70
Ajax,211256,N. Tagliafico,26,1992-08-31,172,65
Getafe CF,223952,David Soria,26,1993-04-04,192,85
Villarreal CF,178750,Sergio Asenjo,30,1989-06-28,189,87
Athletic Club de Bilbao,189575,Muniain,26,1992-12-19,170,66
Borussia Dortmund,192318,M. Götze,27,1992-06-03,176,75
Borussia Dortmund,193283,T. Delaney,27,1991-09-03,182,79
TSG 1899 Hoffenheim,193698,O. Baumann,29,1990-06-02,187,82
Real Sociedad,195093,Willian José,27,1991-11-23,189,93
FC Barcelona,199564,Sergi Roberto,27,1992-02-07,178,68
Borussia Dortmund,200536,N. Schulz,26,1993-04-01,181,83
Bayer 04 Leverkusen,200610,K. Volland,26,1992-07-30,179,83
Real Madrid,200724,Nacho Fernández,29,1990-01-18,180,76
Valencia CF,201305,Gabriel Paulista,28,1990-11-26,187,79
VfL Wolfsburg,202562,J. Roussillon,26,1993-01-06,175,80
Manchester United,203263,H. Maguire,26,1993-03-05,194,100
Borussia Dortmund,203486,T. Hazard,26,1993-03-29,175,71
RB Leipzig,208448,E. Forsberg,27,1991-10-23,179,74
Eintracht Frankfurt,208574,F. Kostić,26,1992-11-01,184,82
Inter,216409,M. Politano,25,1993-08-03,171,67
SL Benfica,216547,Rafa,26,1993-05-17,172,66
Milan,24630,Pepe Reina,36,1982-08-31,188,92
Boca Juniors,53302,D. De Rossi,35,1983-07-24,184,83
Athletic Club de Bilbao,106231,Aduriz,38,1981-02-11,182,78
Sevilla FC,146536,Jesús Navas,33,1985-11-21,170,60
Villarreal CF,146562,Santi Cazorla,34,1984-12-13,168,65
Atlético Madrid,156519,H. Herrera,29,1990-04-19,185,80
Milan,158963,L. Biglia,33,1986-01-30,178,63
West Ham United,164835,L. Fabiański,34,1985-04-18,190,83
Sporting CP,168354,E. Viviano,33,1985-12-01,195,90
Manchester United,178088,Juan Mata,31,1988-04-28,170,63
Chelsea,178509,O. Giroud,32,1986-09-30,193,92
Sevilla FC,179645,S. Kjær,30,1989-03-26,191,84
Chelsea,180403,Willian,30,1988-08-09,175,78
Lokomotiv Moscow,181786,V. Ćorluka,33,1986-02-05,192,84
Shanghai SIPG FC,184200,M. Arnautović,30,1989-04-19,192,83
Manchester United,184941,A. Sánchez,30,1988-12-19,169,62
Al Nassr,184942,Giuliano,29,1990-05-31,172,68
Roma,185103,A. Kolarov,33,1985-11-10,187,81
Brescia,186627,M. Balotelli,28,1990-08-12,189,88
Shakhtar Donetsk,187754,Marlos,31,1988-06-07,174,69
Shakhtar Donetsk,188803,Taison,31,1988-01-13,172,64
Sporting CP,189068,B. Dost,30,1989-05-31,196,89
Milan,189125,G. Bonaventura,29,1989-08-22,181,75
Chelsea,189505,Pedro,31,1987-07-28,169,65
Sevilla FC,189805,L. de Jong,28,1990-08-27,188,86
Shanghai Greenland Shenhua FC,190813,S. El Shaarawy,26,1992-10-27,178,72
Paris Saint-Germain,191740,Ander Herrera,29,1989-08-14,182,73
Liverpool,193348,X. Shaqiri,27,1991-10-10,169,72
PFC CSKA Moscow,193525,Mário Fernandes,28,1990-09-19,187,80
Sporting CP,197655,S. Coates,28,1990-10-07,196,92
Beijing Sinobo Guoan FC,198951,C. Bakambu,28,1991-04-11,182,74
Paris Saint-Germain,202371,T. Meunier,27,1991-09-12,191,90
Bayer 04 Leverkusen,202857,K. Bellarabi,29,1990-04-08,184,81
Manchester United,207494,J. Lingard,26,1992-12-15,175,62
Ajax,208808,Q. Promes,27,1992-01-04,174,72
Leicester City,208830,J. Vardy,32,1987-01-11,179,74
Atalanta,215333,D. Zapata,28,1991-04-01,189,88
Levante UD,216475,Morales,31,1987-07-23,180,70
Grêmio,230168,Raphaelito Anjos,31,1988-02-29,190,85
Cruzeiro,230225,Juiano Mestres,35,1984-02-29,181,82
Atlético Mineiro,230258,Rosberto Dourado,31,1988-02-29,175,70
Uruguay,245309,E. Schetino,27,1992-02-29,185,80
Uruguay,245313,J. Sildero,27,1992-02-29,177,75
Inter,231478,L. Martínez,21,1997-08-22,174,81
Olympique Lyonnais,234906,H. Aouar,21,1998-06-30,175,70
Tottenham Hotspur,235569,T. Ndombele,22,1996-12-28,181,76
Real Madrid,240130,Éder Militão,21,1998-01-18,186,78
Cagliari,205659,A. Cragno,25,1994-06-28,184,78
Ajax,221363,D. van de Beek,22,1997-04-18,184,74
Manchester United,221660,V. Lindelöf,24,1994-07-17,187,80
Arsenal,222509,Dani Ceballos,22,1996-08-07,179,70
West Ham United,226456,Pablo Fornals,23,1996-02-22,178,67
Juventus,208333,E. Can,25,1994-01-12,184,82
Valencia CF,211688,Gayà,24,1995-05-25,172,66
Ajax,236632,David Neres,22,1997-03-03,175,66
Napoli,210406,P. Zieliński,25,1994-05-20,180,75
Montpellier HSC,215316,G. Rulli,27,1992-05-20,189,84
Arsenal,199503,G. Xhaka,26,1992-09-27,185,82
FC Barcelona,201400,Rafinha,26,1993-02-12,174,71
Valencia CF,201455,G. Kondogbia,26,1993-02-15,188,80
RB Leipzig,204923,M. Sabitzer,25,1994-03-17,177,77
Manchester United,205988,L. Shaw,23,1995-07-12,181,75
Atlanta United,207877,J. Martínez,26,1993-05-19,170,69
Watford,208135,A. Doucouré,26,1993-01-01,184,76
Leicester City,226790,W. Ndidi,22,1996-12-16,183,74
1. FC Köln,200316,T. Horn,26,1993-05-12,192,90
RB Leipzig,204638,W. Orban,26,1992-11-03,186,83
Borussia Mönchengladbach,206467,A. Plea,26,1993-03-10,181,79
RB Leipzig,207791,Y. Poulsen,25,1994-06-15,193,78
Bournemouth,207807,R. Fraser,25,1994-02-24,163,70
Borussia Mönchengladbach,207862,M. Ginter,25,1994-01-19,191,89
Borussia Dortmund,209889,R. Guerreiro,25,1993-12-22,170,71
Inter,212814,João Mário,26,1993-01-19,179,73
Olympique Lyonnais,213874,Thiago Mendes,27,1992-03-15,177,80
Torino,216145,A. Izzo,27,1992-03-02,183,78
Inter,216352,M. Brozović,26,1992-11-16,181,68
Beşiktaş JK,190544,A. Ljajić,27,1991-09-29,182,74
FC Porto,193165,J. Corona,26,1993-01-06,173,62
Real Valladolid CF,199575,Jordi Masip,30,1989-01-03,180,76
Sevilla FC,204120,T. Vaclík,30,1989-03-29,188,85
Crystal Palace,206304,L. Milivojević,28,1991-04-07,186,80
Villarreal CF,208093,Gerard Moreno,27,1992-04-07,180,77
VfL Wolfsburg,223689,W. Weghorst,26,1992-08-07,197,84
Beşiktaş JK,20775,Quaresma,35,1983-09-26,175,67
Sporting CP,112316,J. Mathieu,35,1983-10-29,189,84
Liverpool,138412,J. Milner,33,1986-01-04,175,70
Racing Club,142707,L. López,36,1983-03-02,174,72
Al Hilal,159145,B. Gomis,33,1985-08-06,184,77
Guangzhou R&F FC,162240,M. Dembélé,31,1987-07-16,185,85
AS Monaco,162895,Cesc Fàbregas,32,1987-05-04,179,77
Sassuolo,163489,A. Consigli,32,1987-01-27,189,82
FC Girondins de Bordeaux,165229,L. Koscielny,33,1985-09-10,186,75
SL Benfica,168530,Jardel,33,1986-03-29,192,86
Beijing Sinobo Guoan FC,169195,Renato Augusto,31,1988-02-08,186,86
LOSC Lille,171791,José Fonte,35,1983-12-22,187,81
Real Betis,171897,A. Guardado,32,1986-09-28,169,67
Borussia Dortmund,173771,L. Piszczek,34,1985-06-03,184,79
Valencia CF,176600,K. Gameiro,32,1987-05-09,172,70
Olympique de Marseille,177388,D. Payet,32,1987-03-29,175,77
Athletic Club de Bilbao,177600,Beñat,32,1987-02-19,177,76
Atlético Madrid,178086,Adán,32,1987-05-13,190,92
Lokomotiv Moscow,179784,B. Höwedes,31,1988-02-29,188,77
Galatasaray SK,182494,F. Muslera,33,1986-06-16,190,74
Tottenham Hotspur,183394,M. Sissoko,29,1989-08-16,187,91
Lazio,183498,M. Parolo,34,1985-01-25,184,75
Sevilla FC,184134,Fernando,31,1987-07-25,183,76
Chicago Fire,184144,N. Gaitán,31,1988-02-23,173,66
Al Hilal,184431,S. Giovinco,32,1987-01-26,163,61
Olympique de Marseille,185221,Luiz Gustavo,31,1987-07-23,187,78
Torino,188829,N. Nkoulou,29,1990-03-27,184,77
Manchester United,191202,N. Matić,30,1988-08-01,194,85
Chelsea,192638,Marcos Alonso,28,1990-12-28,188,87
Arsenal,192883,H. Mkhitaryan,30,1989-01-21,177,75
SL Benfica,194022,André Almeida,28,1990-09-10,185,80
Roma,203551,A. Florenzi,28,1991-03-11,173,67
Guangzhou R&F FC,204399,E. Zahavi,31,1987-07-25,182,71
Sevilla FC,207471,F. Vázquez,30,1989-02-22,186,82
Real Madrid,208618,Lucas Vázquez,28,1991-07-01,173,70
Athletic Club de Bilbao,216194,Dani García,29,1990-05-24,180,80
Sporting CP,224334,M. Acuña,27,1991-10-28,172,69
Fluminense,230271,Laure Santeiro,31,1988-02-29,171,63
Uruguay,245299,J. Frendado,35,1984-02-29,181,82
Uruguay,245304,S. Ardero,31,1988-02-29,171,63
Uruguay,245305,L. Dálves,27,1992-02-29,188,83
Ecuador,251700,S. Mandíquez,30,1989-03-16,188,84
Atlético Madrid,242444,João Félix,19,1999-11-10,181,70
Inter,224232,N. Barella,22,1997-02-07,175,68
Liverpool,225100,J. Gomez,22,1997-05-23,188,77
Chelsea,213661,A. Christensen,23,1996-04-10,187,81
LOSC Lille,215698,M. Maignan,23,1995-07-03,191,89
Leicester City,216393,Y. Tielemans,22,1997-05-07,176,72
Atlético Madrid,229668,Mario Hermoso,24,1995-06-18,184,75
Valencia CF,234153,Carlos Soler,22,1997-01-02,180,76
Milan,220477,M. Caldara,25,1994-05-05,187,80
Tottenham Hotspur,222400,H. Winks,23,1996-02-02,176,74
Milan,223113,K. Piątek,24,1995-07-01,183,77
Wolverhampton Wanderers,224458,Diogo Jota,22,1996-12-04,178,73
Atlético Madrid,226161,Marcos Llorente,24,1995-01-30,184,74
Real Madrid,228618,F. Mendy,24,1995-06-08,180,73
RCD Espanyol,236679,Melendo,21,1997-08-23,167,63
SL Benfica,239818,Rúben Dias,22,1997-05-14,186,82
Dinamo Zagreb,241671,D. Livaković,23,1995-09-02,187,79
Arsenal,203747,Héctor Bellerín,24,1995-03-19,178,74
Manchester City,204884,B. Mendy,24,1994-07-17,185,85
Olympique Lyonnais,211591,M. Dembélé,22,1996-07-12,183,74
SL Benfica,211990,O. Vlachodimos,25,1994-04-26,188,77
RC Celta,212623,Santi Mina,23,1995-12-07,181,77
Sevilla FC,212692,Rony Lopes,23,1995-12-28,174,68
Lazio,215330,J. Correa,24,1994-08-13,188,77
Chelsea,219809,T. Bakayoko,24,1994-08-17,189,85
SV Werder Bremen,226168,M. Eggestein,22,1996-12-08,181,75
Real Madrid,234035,Odriozola,23,1995-12-14,176,66
Valencia CF,239207,M. Gómez,22,1996-08-14,186,84
RCD Espanyol,202648,Sergi Darder,25,1993-12-22,180,71
Chelsea,204311,K. Zouma,24,1994-10-27,190,96
Paris Saint-Germain,207439,L. Paredes,25,1994-06-29,180,75
Bournemouth,208920,N. Aké,24,1995-02-18,180,75
Napoli,210864,E. Hysaj,25,1994-02-02,182,70
Everton,211575,André Gomes,25,1993-07-30,188,84
AS Monaco,215785,K. Baldé,24,1995-03-08,181,80
Borussia Dortmund,222028,J. Weigl,23,1995-09-08,186,72
FC Nantes,223874,V. Rongier,24,1994-12-07,172,70
Athletic Club de Bilbao,227950,Yeray,24,1995-01-24,183,78
